count,name,id,year
67,Grand Boulevard,278,2004
73,Grand Boulevard,278,2005
54,Grand Boulevard,278,2006
70,Grand Boulevard,278,2007
70,Grand Boulevard,278,2008
54,Grand Boulevard,278,2009
47,Grand Boulevard,278,2010
40,Grand Boulevard,278,2011
43,Grand Boulevard,278,2012
53,Grand Boulevard,278,2013
21,Grand Boulevard,278,2014
18,Grand Boulevard,278,2015
11,Grand Boulevard,278,2016
3,Printers Row,279,2004
9,Printers Row,279,2005
8,Printers Row,279,2006
6,Printers Row,279,2007
8,Printers Row,279,2009
13,Printers Row,279,2010
8,Printers Row,279,2011
9,Printers Row,279,2012
13,Printers Row,279,2013
3,Printers Row,279,2014
5,Printers Row,279,2015
1,Printers Row,279,2016
56,United Center,280,2004
50,United Center,280,2005
52,United Center,280,2006
36,United Center,280,2007
58,United Center,280,2008
43,United Center,280,2009
42,United Center,280,2010
52,United Center,280,2011
42,United Center,280,2012
26,United Center,280,2013
27,United Center,280,2014
19,United Center,280,2015
9,United Center,280,2016
4,Sheffield & DePaul,281,2004
8,Sheffield & DePaul,281,2005
16,Sheffield & DePaul,281,2006
10,Sheffield & DePaul,281,2007
10,Sheffield & DePaul,281,2008
3,Sheffield & DePaul,281,2009
12,Sheffield & DePaul,281,2010
13,Sheffield & DePaul,281,2011
10,Sheffield & DePaul,281,2012
9,Sheffield & DePaul,281,2013
13,Sheffield & DePaul,281,2014
6,Sheffield & DePaul,281,2015
246,Humboldt Park,282,2004
315,Humboldt Park,282,2005
275,Humboldt Park,282,2006
210,Humboldt Park,282,2007
232,Humboldt Park,282,2008
259,Humboldt Park,282,2009
287,Humboldt Park,282,2010
276,Humboldt Park,282,2011
256,Humboldt Park,282,2012
254,Humboldt Park,282,2013
210,Humboldt Park,282,2014
241,Humboldt Park,282,2015
41,Humboldt Park,282,2016
359,Garfield Park,283,2004
384,Garfield Park,283,2005
379,Garfield Park,283,2006
332,Garfield Park,283,2007
290,Garfield Park,283,2008
373,Garfield Park,283,2009
381,Garfield Park,283,2010
410,Garfield Park,283,2011
323,Garfield Park,283,2012
310,Garfield Park,283,2013
473,Garfield Park,283,2014
371,Garfield Park,283,2015
73,Garfield Park,283,2016
191,North Lawndale,284,2004
233,North Lawndale,284,2005
196,North Lawndale,284,2006
210,North Lawndale,284,2007
252,North Lawndale,284,2008
229,North Lawndale,284,2009
225,North Lawndale,284,2010
186,North Lawndale,284,2011
187,North Lawndale,284,2012
277,North Lawndale,284,2013
253,North Lawndale,284,2014
241,North Lawndale,284,2015
53,North Lawndale,284,2016
57,Little Village,285,2004
88,Little Village,285,2005
77,Little Village,285,2006
69,Little Village,285,2007
92,Little Village,285,2008
89,Little Village,285,2009
126,Little Village,285,2010
103,Little Village,285,2011
59,Little Village,285,2012
90,Little Village,285,2013
111,Little Village,285,2014
62,Little Village,285,2015
11,Little Village,285,2016
5,Armour Square,286,2004
6,Armour Square,286,2005
17,Armour Square,286,2006
2,Armour Square,286,2007
5,Armour Square,286,2008
24,Armour Square,286,2009
14,Armour Square,286,2010
14,Armour Square,286,2011
13,Armour Square,286,2012
16,Armour Square,286,2013
8,Armour Square,286,2014
9,Armour Square,286,2015
4,Avalon Park,287,2004
23,Avalon Park,287,2005
12,Avalon Park,287,2006
21,Avalon Park,287,2007
14,Avalon Park,287,2008
16,Avalon Park,287,2009
14,Avalon Park,287,2010
15,Avalon Park,287,2011
18,Avalon Park,287,2012
16,Avalon Park,287,2013
32,Avalon Park,287,2014
16,Avalon Park,287,2015
16,Avalon Park,287,2016
6,Burnside,288,2004
7,Burnside,288,2005
5,Burnside,288,2006
6,Burnside,288,2007
8,Burnside,288,2008
7,Burnside,288,2009
8,Burnside,288,2010
3,Burnside,288,2011
13,Burnside,288,2012
5,Burnside,288,2013
9,Burnside,288,2014
10,Burnside,288,2015
14,Calumet Heights,289,2004
36,Calumet Heights,289,2005
19,Calumet Heights,289,2006
22,Calumet Heights,289,2007
22,Calumet Heights,289,2008
32,Calumet Heights,289,2009
19,Calumet Heights,289,2010
31,Calumet Heights,289,2011
30,Calumet Heights,289,2012
34,Calumet Heights,289,2013
24,Calumet Heights,289,2014
38,Calumet Heights,289,2015
5,Calumet Heights,289,2016
48,Pullman,290,2004
62,Pullman,290,2005
24,Pullman,290,2006
39,Pullman,290,2007
39,Pullman,290,2008
38,Pullman,290,2009
51,Pullman,290,2010
34,Pullman,290,2011
72,Pullman,290,2012
39,Pullman,290,2013
58,Pullman,290,2014
36,Pullman,290,2015
2,Pullman,290,2016
14,Riverdale,291,2004
10,Riverdale,291,2005
13,Riverdale,291,2006
16,Riverdale,291,2007
18,Riverdale,291,2008
14,Riverdale,291,2009
38,Riverdale,291,2010
31,Riverdale,291,2011
34,Riverdale,291,2012
14,Riverdale,291,2013
30,Riverdale,291,2014
13,Riverdale,291,2015
9,Riverdale,291,2016
2,Hegewisch,292,2004
6,Hegewisch,292,2005
3,Hegewisch,292,2006
2,Hegewisch,292,2007
7,Hegewisch,292,2008
7,Hegewisch,292,2009
2,Hegewisch,292,2010
6,Hegewisch,292,2011
14,Hegewisch,292,2012
17,Hegewisch,292,2013
1,Hegewisch,292,2014
6,Hegewisch,292,2015
38,Douglas,293,2004
81,Douglas,293,2005
76,Douglas,293,2006
74,Douglas,293,2007
52,Douglas,293,2008
28,Douglas,293,2009
16,Douglas,293,2010
20,Douglas,293,2011
20,Douglas,293,2012
17,Douglas,293,2013
20,Douglas,293,2014
15,Douglas,293,2015
3,Douglas,293,2016
3,Oakland,294,2004
5,Oakland,294,2005
7,Oakland,294,2006
8,Oakland,294,2007
11,Oakland,294,2008
10,Oakland,294,2009
7,Oakland,294,2010
12,Oakland,294,2011
1,Oakland,294,2012
3,Oakland,294,2013
6,Oakland,294,2014
3,Oakland,294,2015
23,Fuller Park,295,2004
36,Fuller Park,295,2005
47,Fuller Park,295,2006
33,Fuller Park,295,2007
39,Fuller Park,295,2008
36,Fuller Park,295,2009
33,Fuller Park,295,2010
49,Fuller Park,295,2011
38,Fuller Park,295,2012
46,Fuller Park,295,2013
34,Fuller Park,295,2014
41,Fuller Park,295,2015
3,Fuller Park,295,2016
101,Woodlawn,296,2004
98,Woodlawn,296,2005
95,Woodlawn,296,2006
81,Woodlawn,296,2007
86,Woodlawn,296,2008
94,Woodlawn,296,2009
112,Woodlawn,296,2010
82,Woodlawn,296,2011
110,Woodlawn,296,2012
84,Woodlawn,296,2013
120,Woodlawn,296,2014
93,Woodlawn,296,2015
22,Woodlawn,296,2016
38,Portage Park,297,2004
62,Portage Park,297,2005
57,Portage Park,297,2006
48,Portage Park,297,2007
51,Portage Park,297,2008
67,Portage Park,297,2009
60,Portage Park,297,2010
52,Portage Park,297,2011
31,Portage Park,297,2012
45,Portage Park,297,2013
32,Portage Park,297,2014
52,Portage Park,297,2015
5,Portage Park,297,2016
19,Hermosa,298,2004
29,Hermosa,298,2005
17,Hermosa,298,2006
20,Hermosa,298,2007
31,Hermosa,298,2008
50,Hermosa,298,2009
21,Hermosa,298,2010
31,Hermosa,298,2011
22,Hermosa,298,2012
28,Hermosa,298,2013
22,Hermosa,298,2014
28,Hermosa,298,2015
3,Hermosa,298,2016
42,Avondale,299,2004
29,Avondale,299,2005
45,Avondale,299,2006
31,Avondale,299,2007
29,Avondale,299,2008
47,Avondale,299,2009
32,Avondale,299,2010
33,Avondale,299,2011
31,Avondale,299,2012
28,Avondale,299,2013
28,Avondale,299,2014
29,Avondale,299,2015
7,Avondale,299,2016
66,Logan Square,300,2004
120,Logan Square,300,2005
94,Logan Square,300,2006
69,Logan Square,300,2007
99,Logan Square,300,2008
113,Logan Square,300,2009
83,Logan Square,300,2010
65,Logan Square,300,2011
94,Logan Square,300,2012
54,Logan Square,300,2013
50,Logan Square,300,2014
38,Logan Square,300,2015
6,Logan Square,300,2016
58,"Little Italy, UIC",301,2004
54,"Little Italy, UIC",301,2005
99,"Little Italy, UIC",301,2006
74,"Little Italy, UIC",301,2007
70,"Little Italy, UIC",301,2008
78,"Little Italy, UIC",301,2009
56,"Little Italy, UIC",301,2010
57,"Little Italy, UIC",301,2011
51,"Little Italy, UIC",301,2012
54,"Little Italy, UIC",301,2013
49,"Little Italy, UIC",301,2014
40,"Little Italy, UIC",301,2015
16,"Little Italy, UIC",301,2016
10,Kenwood,302,2004
20,Kenwood,302,2005
13,Kenwood,302,2006
11,Kenwood,302,2007
18,Kenwood,302,2008
27,Kenwood,302,2009
17,Kenwood,302,2010
30,Kenwood,302,2011
5,Kenwood,302,2012
14,Kenwood,302,2013
9,Kenwood,302,2014
6,Kenwood,302,2015
8,Kenwood,302,2016
92,Rogers Park,303,2004
132,Rogers Park,303,2005
94,Rogers Park,303,2006
81,Rogers Park,303,2007
112,Rogers Park,303,2008
125,Rogers Park,303,2009
104,Rogers Park,303,2010
100,Rogers Park,303,2011
93,Rogers Park,303,2012
74,Rogers Park,303,2013
96,Rogers Park,303,2014
93,Rogers Park,303,2015
27,Rogers Park,303,2016
29,Jefferson Park,304,2004
28,Jefferson Park,304,2005
27,Jefferson Park,304,2006
13,Jefferson Park,304,2007
18,Jefferson Park,304,2008
21,Jefferson Park,304,2009
20,Jefferson Park,304,2010
22,Jefferson Park,304,2011
14,Jefferson Park,304,2012
30,Jefferson Park,304,2013
32,Jefferson Park,304,2014
36,Jefferson Park,304,2015
2,Jefferson Park,304,2016
4,"Sauganash,Forest Glen",305,2005
11,"Sauganash,Forest Glen",305,2006
2,"Sauganash,Forest Glen",305,2007
4,"Sauganash,Forest Glen",305,2008
2,"Sauganash,Forest Glen",305,2009
1,"Sauganash,Forest Glen",305,2010
2,"Sauganash,Forest Glen",305,2011
10,"Sauganash,Forest Glen",305,2012
2,"Sauganash,Forest Glen",305,2013
11,"Sauganash,Forest Glen",305,2014
7,"Sauganash,Forest Glen",305,2015
3,"Sauganash,Forest Glen",305,2016
9,North Park,306,2004
9,North Park,306,2005
17,North Park,306,2006
16,North Park,306,2007
13,North Park,306,2008
4,North Park,306,2009
17,North Park,306,2010
13,North Park,306,2011
5,North Park,306,2012
15,North Park,306,2013
14,North Park,306,2014
8,North Park,306,2015
4,North Park,306,2016
53,Albany Park,307,2004
54,Albany Park,307,2005
41,Albany Park,307,2006
56,Albany Park,307,2007
51,Albany Park,307,2008
61,Albany Park,307,2009
56,Albany Park,307,2010
46,Albany Park,307,2011
47,Albany Park,307,2012
47,Albany Park,307,2013
43,Albany Park,307,2014
36,Albany Park,307,2015
5,Albany Park,307,2016
38,Irving Park,308,2004
61,Irving Park,308,2005
51,Irving Park,308,2006
31,Irving Park,308,2007
33,Irving Park,308,2008
42,Irving Park,308,2009
34,Irving Park,308,2010
42,Irving Park,308,2011
22,Irving Park,308,2012
41,Irving Park,308,2013
24,Irving Park,308,2014
18,Irving Park,308,2015
6,Irving Park,308,2016
18,Dunning,309,2004
13,Dunning,309,2005
17,Dunning,309,2006
21,Dunning,309,2007
10,Dunning,309,2008
13,Dunning,309,2009
21,Dunning,309,2010
24,Dunning,309,2011
19,Dunning,309,2012
10,Dunning,309,2013
30,Dunning,309,2014
21,Dunning,309,2015
3,Dunning,309,2016
26,West Ridge,310,2004
32,West Ridge,310,2005
57,West Ridge,310,2006
53,West Ridge,310,2007
82,West Ridge,310,2008
63,West Ridge,310,2009
91,West Ridge,310,2010
51,West Ridge,310,2011
53,West Ridge,310,2012
49,West Ridge,310,2013
46,West Ridge,310,2014
67,West Ridge,310,2015
8,West Ridge,310,2016
99,Uptown,311,2004
146,Uptown,311,2005
84,Uptown,311,2006
89,Uptown,311,2007
88,Uptown,311,2008
80,Uptown,311,2009
90,Uptown,311,2010
85,Uptown,311,2011
96,Uptown,311,2012
75,Uptown,311,2013
60,Uptown,311,2014
67,Uptown,311,2015
10,Uptown,311,2016
18,Norwood Park,312,2004
14,Norwood Park,312,2005
4,Norwood Park,312,2006
10,Norwood Park,312,2007
9,Norwood Park,312,2008
5,Norwood Park,312,2009
18,Norwood Park,312,2010
18,Norwood Park,312,2011
9,Norwood Park,312,2012
11,Norwood Park,312,2013
8,Norwood Park,312,2014
5,Norwood Park,312,2015
1,Norwood Park,312,2016
22,Streeterville,313,2004
22,Streeterville,313,2005
20,Streeterville,313,2006
19,Streeterville,313,2007
25,Streeterville,313,2008
20,Streeterville,313,2009
27,Streeterville,313,2010
31,Streeterville,313,2011
46,Streeterville,313,2012
40,Streeterville,313,2013
37,Streeterville,313,2014
36,Streeterville,313,2015
15,Streeterville,313,2016
116,South Shore,314,2004
141,South Shore,314,2005
132,South Shore,314,2006
146,South Shore,314,2007
187,South Shore,314,2008
156,South Shore,314,2009
136,South Shore,314,2010
185,South Shore,314,2011
170,South Shore,314,2012
144,South Shore,314,2013
147,South Shore,314,2014
210,South Shore,314,2015
57,South Shore,314,2016
48,Chatham,315,2004
71,Chatham,315,2005
55,Chatham,315,2006
93,Chatham,315,2007
81,Chatham,315,2008
103,Chatham,315,2009
111,Chatham,315,2010
104,Chatham,315,2011
124,Chatham,315,2012
115,Chatham,315,2013
132,Chatham,315,2014
126,Chatham,315,2015
29,Chatham,315,2016
52,South Chicago,316,2004
89,South Chicago,316,2005
82,South Chicago,316,2006
69,South Chicago,316,2007
82,South Chicago,316,2008
86,South Chicago,316,2009
66,South Chicago,316,2010
100,South Chicago,316,2011
109,South Chicago,316,2012
107,South Chicago,316,2013
115,South Chicago,316,2014
132,South Chicago,316,2015
35,South Chicago,316,2016
97,Roseland,317,2004
135,Roseland,317,2005
119,Roseland,317,2006
114,Roseland,317,2007
142,Roseland,317,2008
190,Roseland,317,2009
148,Roseland,317,2010
159,Roseland,317,2011
180,Roseland,317,2012
153,Roseland,317,2013
145,Roseland,317,2014
133,Roseland,317,2015
14,Roseland,317,2016
13,North Center,318,2004
40,North Center,318,2005
37,North Center,318,2006
43,North Center,318,2007
24,North Center,318,2008
13,North Center,318,2009
23,North Center,318,2010
37,North Center,318,2011
29,North Center,318,2012
31,North Center,318,2013
25,North Center,318,2014
17,North Center,318,2015
4,North Center,318,2016
48,South Deering,319,2004
26,South Deering,319,2005
26,South Deering,319,2006
35,South Deering,319,2007
44,South Deering,319,2008
28,South Deering,319,2009
25,South Deering,319,2010
53,South Deering,319,2011
56,South Deering,319,2012
63,South Deering,319,2013
48,South Deering,319,2014
71,South Deering,319,2015
18,South Deering,319,2016
6,East Side,320,2004
21,East Side,320,2005
17,East Side,320,2006
8,East Side,320,2007
12,East Side,320,2008
19,East Side,320,2009
17,East Side,320,2010
27,East Side,320,2011
24,East Side,320,2012
22,East Side,320,2013
31,East Side,320,2014
33,East Side,320,2015
2,East Side,320,2016
81,West Pullman,321,2004
67,West Pullman,321,2005
79,West Pullman,321,2006
90,West Pullman,321,2007
64,West Pullman,321,2008
122,West Pullman,321,2009
77,West Pullman,321,2010
87,West Pullman,321,2011
82,West Pullman,321,2012
76,West Pullman,321,2013
72,West Pullman,321,2014
88,West Pullman,321,2015
16,West Pullman,321,2016
27,Garfield Ridge,322,2004
23,Garfield Ridge,322,2005
41,Garfield Ridge,322,2006
24,Garfield Ridge,322,2007
38,Garfield Ridge,322,2008
36,Garfield Ridge,322,2009
27,Garfield Ridge,322,2010
31,Garfield Ridge,322,2011
38,Garfield Ridge,322,2012
43,Garfield Ridge,322,2013
23,Garfield Ridge,322,2014
43,Garfield Ridge,322,2015
6,Garfield Ridge,322,2016
139,New City,323,2004
134,New City,323,2005
151,New City,323,2006
161,New City,323,2007
169,New City,323,2008
184,New City,323,2009
132,New City,323,2010
137,New City,323,2011
151,New City,323,2012
103,New City,323,2013
103,New City,323,2014
120,New City,323,2015
24,New City,323,2016
309,Englewood,324,2004
414,Englewood,324,2005
281,Englewood,324,2006
261,Englewood,324,2007
304,Englewood,324,2008
288,Englewood,324,2009
368,Englewood,324,2010
297,Englewood,324,2011
402,Englewood,324,2012
440,Englewood,324,2013
395,Englewood,324,2014
429,Englewood,324,2015
74,Englewood,324,2016
103,Grand Crossing,325,2004
89,Grand Crossing,325,2005
104,Grand Crossing,325,2006
140,Grand Crossing,325,2007
154,Grand Crossing,325,2008
125,Grand Crossing,325,2009
160,Grand Crossing,325,2010
189,Grand Crossing,325,2011
209,Grand Crossing,325,2012
